name,stadium,city,state,conference,capacity,record,built,expanded,statefp,placefp,alt
UCLA,Rose Bowl,Pasadena,CA,Pac-12,92542,106869,1922,1949,6,56000,
UMass,Gillette Stadium,Foxborough,MA,MAC,68756,68756,2002,,25,24855,
UNLV,Sam Boyd Stadium,Whitney,NV,Mountain West,36800,44615,1971,1999,32,83800,
USF,Raymond James Stadium,Tampa,FL,American,65857,71921,1998,,12,71000,South Florida
Utah,Rice-Eccles Stadium,Salt Lake City,UT,Pac-12,45017,46768,1998,1998,49,67000,
Utah State,Romney Stadium,Logan,UT,Mountain West,25513,33119,1968,1980,49,45860,
UTEP,Sun Bowl Stadium,El Paso,TX,C-USA,51500,53415,1963,1981,48,24000,
UTSA,Alamodome,San Antonio,TX,C-USA,65000,56743,1993,,48,65000,Texas-San Antonio
Vanderbilt,Vanderbilt Stadium,Nashville,TN,SEC,39790,41448,1922,2004,47,52006,
Virginia,Scott Stadium,Charlottesville,VA,ACC,61500,64947,1931,2000,51,14968,
Virginia Tech,Lane Stadium,Blacksburg,VA,ACC,66233,66233,1965,2005,51,7784,
Wake Forest,BB&T Field,Winston-Salem,NC,ACC,31500,37623,1968,2007,37,75000,
Washington,Husky Stadium,Seattle,WA,Pac-12,72500,76125,1920,1987,53,63000,
Washington State,Martin Stadium,Pullman,WA,Pac-12,32248,40306,1972,2000,53,56625,
West Virginia,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,Big 12,60000,70222,1980,2004,54,55756,
Western Kentucky,Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Sun Belt,22000,22297,1968,2008,21,8902,
Western Michigan,Waldo Stadium,Kalamazoo,MI,MAC,30200,36361,1939,2003,26,42160,
Wisconsin,Camp Randall Stadium,Madison,WI,Big Ten,80321,83184,1917,2005,55,48000,
Wyoming,War Memorial Stadium,Laramie,WY,Mountain West,29181,34745,1950,2010,56,45050,
