position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
db,"Fort Scott, Kansas",Fort Scott C.C.,78,185,4.4,3,5.5,,Toledo,Cameron Cole,2012
db,"Pleasant Hill, California",Diablo Valley C.C.,65,190,4.5,2,,,Nevada,Nigel Haikins,2012
db,"Monterey Park, California",East Los Angeles College,78,190,4.4,2,5.2,,Kansas,Nas Moore,2012
db,"Highland, Kansas",Highland C.C.,65,180,4.4,3,5.6,,East Carolina,Colby Brown,2012
db,"Booneville, Mississippi",Northeast Mississippi C.C.,78,170,,3,5.6,,Alabama,Deion Belue,2012
db,"Coffeyville, Kansas",Coffeyville C.C.,65,175,,3,5.5,,Minnesota,Briean Boddy,2012
db,"Woodland Hills, California",Pierce C.C.,78,185,4.5,3,5.6,,Arizona State,Oliver Johnson,2012
db,"Walnut, California",Mt. San Antonio C.C.,78,190,,0,,,Montana,Anthony Goodwin,2012
db,"Fort Scott, Kansas",Fort Scott C.C.,78,200,4.4,3,5.5,,Miami (FL),Ladarius Gunter,2012
db,"Yuma, Arizona",Arizona Western C.C.,78,190,4.5,2,5.4,,South Florida,Josh Brown,2012
db,"Alfred, New York",Alfred State C.C.,78,195,,3,5.5,,Western Kentucky,Brett Harrington,2012
db,"El Dorado, Kansas",Butler County C.C.,78,180,4.5,2,5.3,,Troy,Zach Miller,2012
db,"Brenham, Texas",Blinn C.C.,78,196,4.5,2,5.4,,Minnesota,Jeremy Baltazar,2012
db,"Riverside, California",Riverside C.C.,78,190,4.5,2,5.4,,Nevada,Markus Smith,2012
db,"Riverside, California",Riverside C.C.,65,175,4.5,3,5.5,,Texas Tech,Bruce Jones,2012
db,"Milledgeville, Georgia",Georgia Military College,65,190,,3,5.7,,Indiana,Antonio Marshall,2012
db,"Wilmington, California",Los Angeles Harbor C.C.,65,175,4.4,3,5.5,,Texas Tech,Olaoluwa Falemi,2012
db,"Woodland Hills, California",Pierce C.C.,65,185,4.5,3,5.7,,Oklahoma,Kasseim Everett,2012
db,"Wesson, Mississippi",Copiah-Lincoln C.C.,65,175,,3,5.6,,Mississippi,Dehendret Collins,2012
db,"Athens, Texas",Trinity Valley C.C.,65,190,4.4,3,5.6,,TCU,Keivon Gamble,2012
db,"Athens, Texas",Trinity Valley C.C.,78,175,,3,5.5,,Iowa State,Clifford Stokes,2012
db,"Athens, Texas",Trinity Valley C.C.,65,170,4.4,3,5.5,,Minnesota,Martez Shabazz,2012
db,"Raymond, Mississippi",Hinds C.C.,65,180,,3,5.6,,East Carolina,Adonis Armstrong,2012
db,"Glen Ellyn, Illinois",College of DuPage,65,190,4.5,3,5.5,,Bowling Green,Joshua Pettus,2012
db,"Thatcher, Arizona",Eastern Arizona J.C.,78,200,,4,5.9,,Nebraska,Mohammed Seisay,2012
db,"Scottsdale, Arizona",Scottsdale C.C.,78,200,4.5,3,5.6,,Hawaii,J.T. Turner,2012
db,"Thatcher, Arizona",Eastern Arizona J.C.,78,200,4.5,4,6.0,,Alabama,Travell Dixon,2012
qb,"Georgetown, Kentucky",Scott County,78,200,4.6,2,5.0,,Eastern Kentucky,Benjamin Lawler,2012
de,"Thatcher, Arizona",Eastern Arizona J.C.,78,230,,3,5.6,,Hawaii,Quenton Brown,2012
db,"Miramar, Florida",Miramar,78,177,,0,,,Hawaii,Marrell Jackson,2012
ol,"Sanford, Florida",Seminole,78,265,,0,,,Presbyterian,Hunter Hinson,2012
lb,"Ponte Vedra, Florida",Ponte Vedra,78,205,,0,,,Wofford,Tyler Gleason,2012
ath,"Lake Mary, Florida",Lake Mary,65,170,,2,5.3,,Wofford,Treyous Jarrells,2012
de,"San Francisco, California",City College of San Francisco,78,230,,3,5.6,,Syracuse,Markus Pierce-Brewster,2012
te,"Stone Mountain, Georgia",Stephenson,78,242,4.7,3,5.5,,Syracuse,Joshua Parris,2012
ol,"Middle Island, New York",Longwood,78,295,,2,5.4,,Syracuse,Omari Palmer,2012
k,"Garden City, New York",Garden City,78,175,,2,5.2,,Syracuse,Ryan Norton,2012
ath,"Dix Hills, New York",Half Hollow Hills West,78,195,4.6,3,5.5,,Syracuse,Devante McFarlane,2012
de,"Alpharetta, Georgia",Milton,78,245,,3,5.5,,Syracuse,Josh Manley,2012
de,"Bedford, Ohio",Bedford,78,242,4.7,3,5.6,,Syracuse,Myles Hilliard,2012
db,"Mc Kees Rocks, Pennsylvania",Sto Rox,78,200,4.5,2,5.3,,Syracuse,Dontez Ford,2012
ol,"Schuylkill Haven, Pennsylvania",Blue Mountain,78,275,,2,5.4,,Syracuse,Jason Emerich,2012
wr,"Staten Island, New York",Tottenville,78,190,,2,5.4,,Syracuse,Alvin Cornelius,2012
dt,"Cherry Hill, New Jersey",Camden Catholic,78,278,,2,5.4,,Syracuse,Marcus Coleman,2012
qb,"New Berlin, New York",Milford Academy,78,235,,3,5.5,,Syracuse,Ashton Broyld,2012
ol,"Manlius, New York",Christian Brothers,78,255,,2,5.4,,Syracuse,Ben Barrett,2012
ol,"Tallahassee, Florida",Lincoln,78,270,,2,5.3,,Army,Trevin Huff,2012
ol,"Louisburg, North Carolina",Louisburg College,78,275,,3,5.5,,Southern Miss,Cedric Chisolm,2012
dt,"Buford, Georgia",Buford,78,270,,0,,,Georgia Southern,Dequan Clark,2012
dt,"Chatham, Virginia",Hargrave Military Academy,78,277,,4,5.8,,Clemson,Kevin Dodd,2012
wr,"Chatham, Virginia",Hargrave Military Academy,78,198,,5,6.1,,Oklahoma,Trey Metoyer,2012
de,"Westwood, Massachusetts",Xaverian Brothers,78,242,,0,,,Army,Colby Enegren,2012
ath,"Fleming Island, Florida",Fleming Island,65,192,4.4,2,5.3,,Delaware,Craig Brodsky,2012
dt,"St. Mary's, Georgia",Camden County,78,290,,0,,,Delaware,Joshua Plummer,2012
wr,"Wilmington, Delaware",Charter School of Wilmington,78,180,,0,,,Delaware,Andrew Peterson,2012
ol,"Jacksonville, Florida",Bishop Kenny,78,260,4.9,2,5.3,,Delaware,Will Lewis,2012
k,"Hampton, Virginia",Phoebus,78,181,,0,,,Delaware,Eric Enderson,2012
te,"Englewood, Colorado",Cherry Creek,78,230,,2,5.2,,New Mexico,Christian Rebhun,2012
lb,"Phoenix, Arizona",Desert Vista,78,200,,2,5.2,,New Mexico,Michael Arredondo,2012
ol,"Dallas, Texas",Dallas Christian,78,275,5.2,3,5.5,,New Mexico,Garrett Adcock,2012
de,"Chandler, Arizona",Chandler,78,210,,2,5.3,,New Mexico,Richard Winston,2012
lb,"Holland, Michigan",Holland,78,215,4.7,3,5.5,,Central Michigan,Nathan Ricketts,2012
de,"Dayton, Texas",Dayton,78,266,,2,5.2,,Texas State,Justin Booth,2012
de,"Richfield, Minnesota",Holy Angels,78,250,,0,,,North Dakota State,Brett Pierce,2012
lb,"Waldorf, Maryland",North Point,78,195,,0,,,St. Francis (PA),Curtis Gibson,2012
ol,"Brenham, Texas",Brenham,78,295,,3,5.5,,Texas State,Adrian Bellard,2012
de,"Annapolis, Maryland",Broadneck,78,205,,0,,,Elon,Tyler Drake,2012
ol,"Laveen, Arizona",Fairfax,78,280,,0,,,Arkansas-Pine Bluff,Trevon Reagan,2012
db,"Phoenix, Arizona",Brophy Prep,78,170,,0,,,Columbia,Matt Cahal,2012
ol,"Tucson, Arizona",Empire,78,240,,0,,,Northern Arizona,Nick Laborin,2012
lb,"Chandler, Arizona",Hamilton,78,190,4.8,0,,,Air Force,Nic Henson,2012
db,"Phoenix, Arizona",St. Mary's,78,180,,0,,,South Dakota State,Justin Templeton,2012
lb,"Tucson, Arizona",Sabino,78,200,,0,,,Army,Jeremy Timpf,2012
ol,"Chandler, Arizona",Basha,78,280,,0,,,Northern Arizona,Drew Mahooty,2012
lb,"Tucson, Arizona",Sunnyside,78,185,4.9,0,,,Eastern Washington,Cedric Gonzalez,2012
wr,"Goodyear, Arizona",Desert Edge,78,180,4.9,0,,,North Dakota,Anthony Fletcher,2012
