stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lon,lat,nickname,first_played,joined_fbs,pop_est_2013,seats_per_100
M. M. Roberts Stadium,Hattiesburg,MS,Southern Miss,C-USA,36000,36232,1932,2008,5007,28,31020,,Hattiesburg,-89.33123841458806,31.329022679766354,Golden Eagles,1912,,47556,75.7
Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,60580,62657,1915,2002,5069,28,54840,,Oxford,-89.53419443879237,34.361975651119494,Rebels,1890,,20865,290.3
Davis Wade Stadium,Starkville,MS,Mississippi State,SEC,61337,58103,1914,2002,5132,28,70240,,Starkville,-88.79334222105413,33.45634427086971,Bulldogs,1895,,24775,247.6
Faurot Field,Columbia,MO,Missouri,SEC,71004,75298,1927,1997,16605,29,15670,,Columbia,-92.333201,38.935849,Tigers,1890,,115276,61.6
Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,87091,91471,1923,2013,17691,31,28000,,Lincoln,-96.70565338761465,40.820636959794285,Cornhuskers,1890,,268738,32.4
Mackay Stadium,Reno,NV,Nevada,Mountain West,29993,33391,1966,1992,1982,32,60600,,Reno,-119.81755829700127,39.5469247954652,Wolf Pack,1896,1992,233294,12.9
Sam Boyd Stadium,Whitney,NV,UNLV,Mountain West,36800,44615,1971,1999,2104,32,40000,,Whitney,-115.01674218001465,36.08622790195585,Rebels,1968,1978,603488,6.1
High Point Solutions Stadium,Piscataway,NJ,Rutgers,American,52454,53737,1994,2009,22952,34,51210,,New Brunswick,-74.46528428823179,40.51356630640021,Scarlet Knights,1869,,55831,94.0
University Stadium,Albuquerque,NM,New Mexico,Mountain West,39224,44760,1960,2007,5223,35,02000,,Albuquerque,-106.62830582442936,35.06698586857266,Lobos,1892,,556495,7.0
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,30343,32993,1978,2005,5245,35,39380,,Las Cruces,-106.74109247744845,32.27963276539545,Aggies,1893,,101324,29.9
Carrier Dome,Syracuse,NY,Syracuse,ACC,49250,50564,1980,,23688,36,73000,,Syracuse,-76.13635242672213,43.03620379989428,Orange,1889,,144669,34.0
Michie Stadium,West Point,NY,Army,Independent,38000,42765,1924,2001,24322,36,18300,,West Point,-73.96413176756496,41.38755893351578,Black Knights,1890,,12524,303.4
UB Stadium,Amherst,NY,Buffalo,MAC,29013,29795,1993,,23506,36,82084,,Williamsville,-78.77749383533391,42.999145857750676,Bulls,1894,1999,5282,549.3
Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,62980,62000,1927,2011,24658,37,11800,,Chapel Hill,-79.04786157753355,35.906968592629724,Tar Heels,1888,,59635,105.6
Wallace Wade Stadium,Durham,NC,Duke,ACC,33941,57500,1929,,24659,37,19000,,Durham,-78.94169642064246,35.99530298886452,Blue Devils,1888,,245475,13.8
Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,C-USA,50000,50610,1963,2010,24822,37,28080,,Greenville,-77.3652626309202,35.59646147536458,Pirates,1932,,89130,56.1
Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,57583,1966,2006,24661,37,55000,North Carolina State,Raleigh,-78.71949836732753,35.80078379097682,Wolfpack,1892,,431746,13.3
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,37623,1968,2007,24929,37,75000,,Winston-Salem,-80.25455142593475,36.1305805606828,Demon Deacons,1888,,236441,13.3
InfoCision Stadium,Akron,OH,Akron,MAC,30000,27881,2009,,25157,39,01000,,Akron,-81.50836426683423,41.07259604090618,Zips,1891,1987,198100,15.1
Peden Stadium,Athens,OH,Ohio,MAC,24000,25893,1929,2001,25351,39,02736,,Athens,-82.10294383084155,39.32102134279734,Bobcats,1894,,24122,99.5
Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,23724,33527,1966,,18903,39,07972,,Bowling Green,-83.62247670802525,41.378055498166276,Falcons,1919,,31802,74.6
